python3-colcon-zsh	0.5.0-100
python3-colorama	0.4.4-1
python3-cov-core	1.15.0-3build1
python3-coverage	6.2+dfsg1-2build1
python3-cpuset	1.6-4.1
python3-cryptography	3.4.8-1ubuntu2.2
python3-cups:arm64	2.0.1-5build1
python3-cupshelpers	1.5.16-0ubuntu3
python3-cycler	0.11.0-1
python3-dateutil	2.8.1-6
python3-dbus	1.2.18-3build1
python3-dbusmock	0.27.5-1
python3-debconf	1.5.79ubuntu1
python3-debian	0.1.43ubuntu1.1
python3-decorator	4.4.2-0ubuntu1
python3-defer	1.0.6-2.1ubuntu1
python3-dev	3.10.6-1~22.04.1
python3-distlib	0.3.4-1
python3-distro	1.7.0-1
python3-distro-info	1.1ubuntu0.2
python3-distupgrade	1:22.04.20
python3-distutils	3.10.8-1~22.04
python3-docutils	0.17.1+dfsg-2
python3-empy	3.3.4-2
python3-fasteners	0.14.1-2
python3-flake8	4.0.1-2
python3-fonttools	4.29.1-2build1
python3-fs	2.4.12-1
python3-future	0.18.2-5ubuntu0.1
python3-gast	0.5.2-2
python3-gi	3.42.1-0ubuntu1
python3-gi-cairo	3.42.1-0ubuntu1
python3-httplib2	0.20.2-2
python3-ibus-1.0	1.5.26-4
python3-idna	3.3-1ubuntu0.1
python3-importlib-metadata	4.6.4-1
python3-iniconfig	1.1.1-2
python3-jeepney	0.7.1-3
python3-jetson-gpio	2.1.7ubuntu1
python3-jinja2	3.0.3-1ubuntu0.4
python3-jwt	2.3.0-1ubuntu0.2
python3-keyring	23.5.0-1
python3-kiwisolver	1.3.2-1build1
python3-lark	1.1.1-1
python3-launchpadlib	1.10.16-1
python3-lazr.restfulclient	0.14.4-1
python3-lazr.uri	1.0.6-2
python3-ldb	2:2.4.4-0ubuntu0.22.04.2
python3-lib2to3	3.10.8-1~22.04
python3-lockfile	1:0.12.2-2.2
python3-louis	3.20.0-2ubuntu0.2
python3-lxml:arm64	4.8.0-1build1
python3-lz4	3.1.3+dfsg-1build3
python3-macaroonbakery	1.3.1-2ubuntu0.1
python3-mako	1.1.3+ds1-2ubuntu0.1
python3-markupsafe	2.0.1-2build1
python3-matplotlib	3.5.1-2build1
python3-mccabe	0.6.1-3
python3-minimal	3.10.6-1~22.04.1
python3-monotonic	1.6-2
python3-more-itertools	8.10.0-2
python3-mpi4py	3.1.3-1build2
python3-mpmath	1.2.1-2
python3-nacl	1.5.0-2
python3-netifaces:arm64	0.11.0-1build2
python3-nose2	0.9.2-1
python3-notify2	0.3-4
python3-numpy	1:1.21.5-1ubuntu22.04.1
python3-oauthlib	3.2.0-1ubuntu0.1
python3-olefile	0.46-3
python3-opencv:arm64	4.5.4+dfsg-9ubuntu4
python3-opengl	3.1.5+dfsg-1
python3-packaging	21.3-1
python3-pandas	1.3.5+dfsg-3
python3-pandas-lib:arm64	1.3.5+dfsg-3
python3-paramiko	2.9.3-0ubuntu1.3
python3-pexpect	4.8.0-2ubuntu1
python3-pil:arm64	9.0.1-1ubuntu0.3
python3-pil.imagetk:arm64	9.0.1-1ubuntu0.3
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.3
python3-pluggy	0.13.0-7.1
python3-ply	3.11-5
python3-problem-report	2.20.11-0ubuntu82.10
python3-protobuf	3.12.4-1ubuntu7.22.04.4
python3-psutil	5.9.0-1build1
python3-ptyprocess	0.7.0-3
python3-py	1.10.0-1
python3-pyatspi	2.38.2-1
python3-pycodestyle	2.8.0-2
python3-pydocstyle	6.1.1-1
python3-pydot	1.4.2-1build1
python3-pyflakes	2.4.0-2
python3-pygments	2.11.2+dfsg-2ubuntu0.1
python3-pygraphviz	1.7-3build1
python3-pykdl:arm64	1.5.1-2build1
python3-pymacaroons	0.13.0-4
python3-pyparsing	2.4.7-1
python3-pyqt5	5.15.6+dfsg-1ubuntu3
python3-pyqt5.qtsvg	5.15.6+dfsg-1ubuntu3
python3-pyqt5.sip	12.9.1-1build1
python3-pyside2.qtcore	5.15.2-2build2
python3-pyside2.qtgui	5.15.2-2build2
python3-pyside2.qtsvg	5.15.2-2build2
python3-pyside2.qtwidgets	5.15.2-2build2
python3-pytest	6.2.5-1ubuntu2
python3-pytest-cov	3.0.0-1
python3-pythran	0.10.0+ds2-1
python3-requests	2.25.1+dfsg-2ubuntu0.3
python3-rfc3339	1.1-3
python3-roman	3.3-1
python3-rosdep	0.26.0-1
python3-rosdep-modules	0.26.0-1
python3-rosdistro-modules	1.0.1-1
python3-rospkg-modules	1.6.0-1
python3-scipy	1.8.0-1exp2ubuntu1
python3-secretstorage	3.3.1-1
python3-setuptools	59.6.0-1.2ubuntu0.22.04.3
python3-sip	4.19.25+dfsg-3build1
python3-sip-dev	4.19.25+dfsg-3build1
python3-six	1.16.0-3ubuntu1
python3-snowballstemmer	2.2.0-1build1
python3-software-properties	0.99.22.9
python3-speechd	0.11.1-1ubuntu3
python3-sss	2.6.3-1ubuntu3.6
python3-sympy	1.9-1
python3-systemd	234-3ubuntu2
python3-talloc:arm64	2.3.3-2build1
python3-tk:arm64	3.10.8-1~22.04
python3-toml	0.10.2-1
python3-typeguard	2.2.2-1.1
python3-tz	2022.1-1ubuntu0.22.04.1
python3-ufolib2	0.13.1+dfsg1-1
python3-unicodedata2	14.0.0+ds-8
python3-uno	1:7.3.7-0ubuntu0.22.04.10
python3-update-manager	1:22.04.22
python3-urllib3	1.26.5-1~exp1ubuntu0.3
python3-urwid	2.1.2-2build1
python3-vtk9	9.1.0+really9.1.0+dfsg2-3build1
python3-wadllib	1.3.6-1
python3-xdg	0.27-2
python3-xkit	0.5.0ubuntu5
python3-yaml	5.4.1-1ubuntu1
python3-zipp	1.0.0-3ubuntu0.1
python3.10	3.10.12-1~22.04.11
python3.10-dev	3.10.12-1~22.04.11
python3.10-minimal	3.10.12-1~22.04.11
qdoc-qt5	5.15.3-1
qemu-efi	2022.02-3ubuntu0.22.04.3
qemu-efi-aarch64	2022.02-3ubuntu0.22.04.3
qhelpgenerator-qt5	5.15.3-1
qt5-assistant	5.15.3-1
qt5-gtk-platformtheme:arm64	5.15.3+dfsg-2ubuntu0.2
qt5-qmake:arm64	5.15.3+dfsg-2ubuntu0.2
qt5-qmake-bin	5.15.3+dfsg-2ubuntu0.2
qt5-qmltooling-plugins:arm64	5.15.3+dfsg-1
qtattributionsscanner-qt5	5.15.3-1
qtbase5-dev:arm64	5.15.3+dfsg-2ubuntu0.2
qtbase5-dev-tools	5.15.3+dfsg-2ubuntu0.2
qtchooser	66-2build1
qtdeclarative5-dev:arm64	5.15.3+dfsg-1
qtdeclarative5-dev-tools	5.15.3+dfsg-1
qttools5-dev:arm64	5.15.3-1
qttools5-dev-tools	5.15.3-1
qttools5-private-dev:arm64	5.15.3-1
qttranslations5-l10n	5.15.3-1
readline-common	8.1.2-1
remmina	1.4.25+dfsg-1ubuntu0.1
remmina-common	1.4.25+dfsg-1ubuntu0.1
remmina-plugin-rdp:arm64	1.4.25+dfsg-1ubuntu0.1
remmina-plugin-secret:arm64	1.4.25+dfsg-1ubuntu0.1
remmina-plugin-vnc:arm64	1.4.25+dfsg-1ubuntu0.1
resolvconf	1.84ubuntu1
rfkill	2.37.2-4ubuntu3.4
rhythmbox	3.4.4-5ubuntu1
rhythmbox-data	3.4.4-5ubuntu1
rhythmbox-plugin-alternative-toolbar	0.20.2-1
rhythmbox-plugins	3.4.4-5ubuntu1
ros-humble-ackermann-msgs	2.0.2-3jammy.20250719.110909
ros-humble-ackermann-steering-controller	2.49.1-1jammy.20250731.202812
ros-humble-action-msgs	1.2.2-1jammy.20250719.085324
ros-humble-action-tutorials-cpp	0.20.5-1jammy.20250719.134852
ros-humble-action-tutorials-interfaces	0.20.5-1jammy.20250719.085932
ros-humble-action-tutorials-py	0.20.5-1jammy.20250719.121624
ros-humble-actionlib-msgs	4.9.0-1jammy.20250719.084524
ros-humble-admittance-controller	2.49.1-1jammy.20250731.181402
ros-humble-ament-cmake	1.3.12-1jammy.20250701.015401
ros-humble-ament-cmake-auto	1.3.12-1jammy.20250701.015926
ros-humble-ament-cmake-copyright	0.12.14-1jammy.20250719.000118
ros-humble-ament-cmake-core	1.3.12-1jammy.20250701.005458
ros-humble-ament-cmake-cppcheck	0.12.14-1jammy.20250719.001132
ros-humble-ament-cmake-cpplint	0.12.14-1jammy.20250719.001131
ros-humble-ament-cmake-export-definitions	1.3.12-1jammy.20250701.012646
ros-humble-ament-cmake-export-dependencies	1.3.12-1jammy.20250701.013152
ros-humble-ament-cmake-export-include-directories	1.3.12-1jammy.20250701.012659
ros-humble-ament-cmake-export-interfaces	1.3.12-1jammy.20250701.013209
ros-humble-ament-cmake-export-libraries	1.3.12-1jammy.20250701.012702
ros-humble-ament-cmake-export-link-flags	1.3.12-1jammy.20250701.012703
ros-humble-ament-cmake-export-targets	1.3.12-1jammy.20250701.013336
ros-humble-ament-cmake-flake8	0.12.14-1jammy.20250719.000624
ros-humble-ament-cmake-gen-version-h	1.3.12-1jammy.20250701.014830
ros-humble-ament-cmake-gmock	1.3.12-1jammy.20250701.014927
ros-humble-ament-cmake-gtest	1.3.12-1jammy.20250701.014335
ros-humble-ament-cmake-include-directories	1.3.12-1jammy.20250701.012701
ros-humble-ament-cmake-libraries	1.3.12-1jammy.20250701.012656
ros-humble-ament-cmake-lint-cmake	0.12.14-1jammy.20250718.235141
ros-humble-ament-cmake-pep257	0.12.14-1jammy.20250719.000858
ros-humble-ament-cmake-pytest	1.3.12-1jammy.20250701.014401
ros-humble-ament-cmake-python	1.3.12-1jammy.20250701.012821
ros-humble-ament-cmake-ros	0.10.0-3jammy.20250719.004624
ros-humble-ament-cmake-target-dependencies	1.3.12-1jammy.20250701.013402
ros-humble-ament-cmake-test	1.3.12-1jammy.20250701.013421
ros-humble-ament-cmake-uncrustify	0.12.14-1jammy.20250719.001136
ros-humble-ament-cmake-version	1.3.12-1jammy.20250701.012904
ros-humble-ament-cmake-xmllint	0.12.14-1jammy.20250719.001616
ros-humble-ament-copyright	0.12.14-1jammy.20250718.232814
ros-humble-ament-cppcheck	0.12.14-1jammy.20250718.230013
ros-humble-ament-cpplint	0.12.14-1jammy.20250718.233807
ros-humble-ament-flake8	0.12.14-1jammy.20250718.230926
ros-humble-ament-index-cpp	1.4.0-2jammy.20250719.005004
ros-humble-ament-index-python	1.4.0-2jammy.20250718.234622
ros-humble-ament-lint	0.12.14-1jammy.20250718.225952
ros-humble-ament-lint-auto	0.12.14-1jammy.20250718.230011
ros-humble-ament-lint-cmake	0.12.14-1jammy.20250718.234628
ros-humble-ament-lint-common	0.12.14-1jammy.20250719.003458
ros-humble-ament-package	0.14.1-1jammy.20250522.030919
ros-humble-ament-pep257	0.12.14-1jammy.20250718.231703
ros-humble-ament-uncrustify	0.12.14-1jammy.20250718.233803
ros-humble-ament-xmllint	0.12.14-1jammy.20250718.234603
ros-humble-angles	1.15.0-1jammy.20250701.015952
ros-humble-backward-ros	1.0.8-2jammy.20250701.013154
ros-humble-behaviortree-cpp-v3	3.8.7-1jammy.20250719.145757
ros-humble-bicycle-steering-controller	2.49.1-1jammy.20250731.203104
ros-humble-bond	4.1.2-1jammy.20250719.084639
ros-humble-bondcpp	4.1.2-1jammy.20250721.214952
ros-humble-builtin-interfaces	1.2.2-1jammy.20250719.080842
ros-humble-can-msgs	2.0.0-4jammy.20250719.091217
ros-humble-canopen-core	0.2.13-1jammy.20250722.080402
ros-humble-canopen-interfaces	0.2.13-1jammy.20250719.080844
ros-humble-canopen-utils	0.2.13-1jammy.20250719.115418
ros-humble-class-loader	2.2.0-3jammy.20250719.014949
ros-humble-common-interfaces	4.9.0-1jammy.20250719.110315
ros-humble-composition	0.20.5-1jammy.20250719.130053
ros-humble-composition-interfaces	1.2.2-1jammy.20250719.082828
ros-humble-console-bridge-vendor	1.4.1-1jammy.20250719.012940
ros-humble-control-msgs	4.8.0-1jammy.20250719.104223
ros-humble-control-toolbox	3.6.1-1jammy.20250722.175916
ros-humble-controller-interface	2.51.0-1jammy.20250722.081850
ros-humble-controller-manager	2.51.0-1jammy.20250730.115036
ros-humble-controller-manager-msgs	2.51.0-1jammy.20250719.081707
ros-humble-costmap-queue	1.1.18-1jammy.20250730.115147
ros-humble-cv-bridge	3.2.1-1jammy.20250719.112036
ros-humble-demo-nodes-cpp	0.20.5-1jammy.20250719.130053
ros-humble-demo-nodes-cpp-native	0.20.5-1jammy.20250719.130049
ros-humble-demo-nodes-py	0.20.5-1jammy.20250719.115951
ros-humble-depthimage-to-laserscan	2.5.1-1jammy.20250719.140643
ros-humble-desktop	0.10.0-1jammy.20250730.130553
ros-humble-diagnostic-msgs	4.9.0-1jammy.20250719.095015
ros-humble-diagnostic-updater	4.0.6-1jammy.20250721.215840
ros-humble-diff-drive-controller	2.49.1-1jammy.20250731.181413
ros-humble-domain-coordinator	0.10.0-3jammy.20250718.233247
ros-humble-dummy-map-server	0.20.5-1jammy.20250719.140414
ros-humble-dummy-robot-bringup	0.20.5-1jammy.20250730.115908
ros-humble-dummy-sensors	0.20.5-1jammy.20250719.140723
ros-humble-dwb-core	1.1.18-1jammy.20250729.010621
ros-humble-dwb-critics	1.1.18-1jammy.20250730.130109
ros-humble-dwb-msgs	1.1.18-1jammy.20250719.103844
ros-humble-dwb-plugins	1.1.18-1jammy.20250729.011434
ros-humble-effort-controllers	2.49.1-1jammy.20250731.201530
ros-humble-eigen3-cmake-module	0.1.1-4jammy.20250719.001118
ros-humble-example-interfaces	0.9.3-2jammy.20250719.090044
ros-humble-examples-rclcpp-minimal-action-client	0.15.4-1jammy.20250719.135553
ros-humble-examples-rclcpp-minimal-action-server	0.15.4-1jammy.20250719.135615
ros-humble-examples-rclcpp-minimal-client	0.15.4-1jammy.20250719.134014
ros-humble-examples-rclcpp-minimal-composition	0.15.4-1jammy.20250719.130621
ros-humble-examples-rclcpp-minimal-publisher	0.15.4-1jammy.20250719.125355
ros-humble-examples-rclcpp-minimal-service	0.15.4-1jammy.20250719.134014
ros-humble-examples-rclcpp-minimal-subscriber	0.15.4-1jammy.20250719.130621
ros-humble-examples-rclcpp-minimal-timer	0.15.4-1jammy.20250719.150905
ros-humble-examples-rclcpp-multithreaded-executor	0.15.4-1jammy.20250719.130622
ros-humble-examples-rclpy-executors	0.15.4-1jammy.20250719.120006
ros-humble-examples-rclpy-minimal-action-client	0.15.4-1jammy.20250719.121616
ros-humble-examples-rclpy-minimal-action-server	0.15.4-1jammy.20250719.121615
ros-humble-examples-rclpy-minimal-client	0.15.4-1jammy.20250719.115954
ros-humble-examples-rclpy-minimal-publisher	0.15.4-1jammy.20250719.115958
ros-humble-examples-rclpy-minimal-service	0.15.4-1jammy.20250719.115958
ros-humble-examples-rclpy-minimal-subscriber	0.15.4-1jammy.20250719.120100
ros-humble-fastcdr	1.0.24-2jammy.20250701.013706
ros-humble-fastrtps	2.6.10-1jammy.20250719.003736
ros-humble-fastrtps-cmake-module	2.2.2-2jammy.20250719.010040
ros-humble-filters	2.2.2-1jammy.20250722.173640
ros-humble-foonathan-memory-vendor	1.2.0-3jammy.20250719.002738
ros-humble-force-torque-sensor-broadcaster	2.49.1-1jammy.20250731.181441
ros-humble-forward-command-controller	2.49.1-1jammy.20250731.181441
ros-humble-generate-parameter-library	0.5.0-1jammy.20250721.220448
ros-humble-generate-parameter-library-py	0.5.0-1jammy.20250718.233746
ros-humble-geographic-msgs	1.0.6-1jammy.20251010.053331
ros-humble-geometry-msgs	4.9.0-1jammy.20250719.092809
ros-humble-geometry2	0.25.16-1jammy.20250728.174042
ros-humble-gmock-vendor	1.10.9006-1jammy.20250701.014458
ros-humble-gpio-controllers	2.49.1-1jammy.20250731.181420
ros-humble-gps-msgs	2.1.1-1jammy.20250719.093044
ros-humble-gripper-controllers	2.49.1-1jammy.20250731.181423
ros-humble-gtest-vendor	1.10.9006-1jammy.20250701.013855
ros-humble-hardware-interface	2.51.0-1jammy.20250722.080403
ros-humble-ignition-cmake2-vendor	0.0.2-2jammy.20250719.002740
ros-humble-ignition-math6-vendor	0.0.2-2jammy.20250719.003244
ros-humble-image-geometry	3.2.1-1jammy.20250719.112813
ros-humble-image-tools	0.20.5-1jammy.20250719.130127
ros-humble-image-transport	3.1.12-1jammy.20250721.224248
ros-humble-imu-sensor-broadcaster	2.49.1-1jammy.20250731.181433
ros-humble-interactive-markers	2.3.2-2jammy.20250728.180757
ros-humble-intra-process-demo	0.20.5-1jammy.20250719.125038
ros-humble-joint-limits	2.51.0-1jammy.20250721.220632
ros-humble-joint-state-broadcaster	2.49.1-1jammy.20250731.181402
ros-humble-joint-state-publisher	2.4.0-1jammy.20250719.125040
ros-humble-joint-state-publisher-gui	2.4.0-1jammy.20250719.142813
ros-humble-joint-trajectory-controller	2.49.1-1jammy.20250731.202000
ros-humble-joy	3.3.0-1jammy.20250719.141027
ros-humble-kdl-parser	2.6.4-1jammy.20250719.023152
ros-humble-keyboard-handler	0.0.5-1jammy.20250719.010104
ros-humble-kinematics-interface	0.4.0-1jammy.20250722.080354
ros-humble-laser-geometry	2.4.0-2jammy.20250728.140444
ros-humble-launch	1.0.10-1jammy.20250719.000017
ros-humble-launch-ros	0.19.10-1jammy.20250719.115418
ros-humble-launch-testing	1.0.10-1jammy.20250719.001622
ros-humble-launch-testing-ament-cmake	1.0.10-1jammy.20250719.012445
ros-humble-launch-testing-ros	0.19.10-1jammy.20250719.120529
ros-humble-launch-xml	1.0.10-1jammy.20250719.001118
ros-humble-launch-yaml	1.0.10-1jammy.20250719.001128
ros-humble-lely-core-libraries	0.2.13-1jammy.20250701.021513
ros-humble-libcurl-vendor	3.1.3-1jammy.20250701.021753
ros-humble-libstatistics-collector	1.3.4-1jammy.20250719.113021
ros-humble-libyaml-vendor	1.2.2-2jammy.20250719.015020
ros-humble-lifecycle	0.20.5-1jammy.20250721.220912
ros-humble-lifecycle-msgs	1.2.2-1jammy.20250719.080844
ros-humble-logging-demo	0.20.5-1jammy.20250719.125407
ros-humble-map-msgs	2.1.0-3jammy.20250719.101431
ros-humble-mecanum-drive-controller	2.49.1-1jammy.20250731.201605
ros-humble-message-filters	4.3.8-1jammy.20250721.223138
ros-humble-nav-2d-msgs	1.1.18-1jammy.20250719.102704
ros-humble-nav-2d-utils	1.1.18-1jammy.20250728.174555
ros-humble-nav-msgs	4.9.0-1jammy.20250719.095219
ros-humble-nav2-amcl	1.1.18-1jammy.20250728.174422
ros-humble-nav2-behavior-tree	1.1.18-1jammy.20250728.174545
ros-humble-nav2-behaviors	1.1.18-1jammy.20250729.010444
ros-humble-nav2-bringup	1.1.18-1jammy.20250731.071949
ros-humble-nav2-bt-navigator	1.1.18-1jammy.20250729.010551
ros-humble-nav2-collision-monitor	1.1.18-1jammy.20250729.005456
ros-humble-nav2-common	1.1.18-1jammy.20250719.142921
ros-humble-nav2-constrained-smoother	1.1.18-1jammy.20250729.011359
ros-humble-nav2-controller	1.1.18-1jammy.20250730.121813
ros-humble-nav2-core	1.1.18-1jammy.20250729.005923
ros-humble-nav2-costmap-2d	1.1.18-1jammy.20250729.003124
ros-humble-nav2-dwb-controller	1.1.18-1jammy.20250730.130954
ros-humble-nav2-lifecycle-manager	1.1.18-1jammy.20250729.002358
ros-humble-nav2-map-server	1.1.18-1jammy.20250728.174546
ros-humble-nav2-mppi-controller	1.1.18-1jammy.20250729.010514
ros-humble-nav2-msgs	1.1.18-1jammy.20250719.143458
ros-humble-nav2-navfn-planner	1.1.18-1jammy.20250729.010816
ros-humble-nav2-planner	1.1.18-1jammy.20250729.010853
ros-humble-nav2-regulated-pure-pursuit-controller	1.1.18-1jammy.20250729.010530
ros-humble-nav2-rotation-shim-controller	1.1.18-1jammy.20250730.182628
ros-humble-nav2-rviz-plugins	1.1.18-1jammy.20250729.022214
ros-humble-nav2-simple-commander	1.1.18-1jammy.20250719.144441
ros-humble-nav2-smac-planner	1.1.18-1jammy.20250730.121820
ros-humble-nav2-smoother	1.1.18-1jammy.20250730.122000
ros-humble-nav2-theta-star-planner	1.1.18-1jammy.20250730.122041
ros-humble-nav2-util	1.1.18-1jammy.20250728.173319
ros-humble-nav2-velocity-smoother	1.1.18-1jammy.20250729.010012
ros-humble-nav2-voxel-grid	1.1.18-1jammy.20250719.151209
ros-humble-nav2-waypoint-follower	1.1.18-1jammy.20250729.011307
ros-humble-navigation2	1.1.18-1jammy.20250731.053946
ros-humble-ompl	1.7.0-3jammy.20250701.073255
ros-humble-orocos-kdl-vendor	0.2.5-1jammy.20250719.005636
ros-humble-osrf-pycommon	2.1.6-1jammy.20250701.031706
ros-humble-parameter-traits	0.5.0-1jammy.20250719.152504
ros-humble-pcl-conversions	2.4.5-2jammy.20250721.231907
ros-humble-pcl-msgs	1.0.0-7jammy.20250719.101724
ros-humble-pendulum-control	0.20.5-1jammy.20250719.150151
ros-humble-pendulum-msgs	0.20.5-1jammy.20250719.081716
ros-humble-pid-controller	2.49.1-1jammy.20250731.201607
ros-humble-pluginlib	5.1.0-3jammy.20250719.020827
ros-humble-pointcloud-to-laserscan	2.0.1-3jammy.20250728.175238
ros-humble-pose-broadcaster	2.49.1-1jammy.20250731.201617
ros-humble-position-controllers	2.49.1-1jammy.20250731.201157
ros-humble-pybind11-vendor	2.4.2-1jammy.20250701.022820
ros-humble-python-cmake-module	0.10.0-2jammy.20250719.010756
ros-humble-python-orocos-kdl-vendor	0.2.5-1jammy.20250719.011342
ros-humble-python-qt-binding	1.1.2-1jammy.20250719.010857
ros-humble-qt-dotgraph	2.2.4-1jammy.20250719.011524
ros-humble-qt-gui	2.2.4-1jammy.20250719.012459
ros-humble-qt-gui-cpp	2.2.4-1jammy.20250719.022554
ros-humble-qt-gui-py-common	2.2.4-1jammy.20250719.011633
ros-humble-quality-of-service-demo-cpp	0.20.5-1jammy.20250719.132436
ros-humble-quality-of-service-demo-py	0.20.5-1jammy.20250719.120522
ros-humble-range-sensor-broadcaster	2.49.1-1jammy.20250731.181419
ros-humble-rcl	5.3.10-1jammy.20250719.111441
ros-humble-rcl-action	5.3.10-1jammy.20250719.113002
ros-humble-rcl-interfaces	1.2.2-1jammy.20250719.081714
ros-humble-rcl-lifecycle	5.3.10-1jammy.20250719.113010
ros-humble-rcl-logging-interface	2.3.1-1jammy.20250719.015429
ros-humble-rcl-logging-spdlog	2.3.1-1jammy.20250719.020850
ros-humble-rcl-yaml-param-parser	5.3.10-1jammy.20250719.023044
ros-humble-rclcpp	16.0.14-1jammy.20250719.113811
ros-humble-rclcpp-action	16.0.14-1jammy.20250719.133516
ros-humble-rclcpp-components	16.0.14-1jammy.20250719.124458
ros-humble-rclcpp-lifecycle	16.0.14-1jammy.20250719.151546
ros-humble-rclpy	3.3.17-1jammy.20250719.113811
ros-humble-rcpputils	2.4.5-1jammy.20250719.014136
ros-humble-rcutils	5.1.6-1jammy.20250719.013006
ros-humble-realtime-tools	2.14.0-1jammy.20250722.080937
ros-humble-resource-retriever	3.1.3-1jammy.20250719.011251
ros-humble-rmw	6.1.2-1jammy.20250719.021126
ros-humble-rmw-dds-common	1.6.0-2jammy.20250719.080842
ros-humble-rmw-fastrtps-cpp	6.2.8-1jammy.20250719.091658
ros-humble-rmw-fastrtps-shared-cpp	6.2.8-1jammy.20250719.082731
ros-humble-rmw-implementation	2.8.5-1jammy.20250719.110852
ros-humble-rmw-implementation-cmake	6.1.2-1jammy.20250719.011039
ros-humble-robot-localization	3.5.4-1jammy.20251017.223119
ros-humble-robot-state-publisher	3.0.3-2jammy.20250728.192318
ros-humble-ros-base	0.10.0-1jammy.20250729.010040
ros-humble-ros-core	0.10.0-1jammy.20250722.023314
ros-humble-ros-environment	3.2.2-1jammy.20250701.043910
ros-humble-ros-workspace	1.0.2-2jammy.20250701.005917
ros-humble-ros2-control	2.51.0-1jammy.20250730.181602
ros-humble-ros2-control-test-assets	2.51.0-1jammy.20250701.023222
ros-humble-ros2-controllers	2.49.1-1jammy.20250731.203919
ros-humble-ros2action	0.18.13-1jammy.20250719.123225
ros-humble-ros2bag	0.15.15-1jammy.20250722.011746
ros-humble-ros2cli	0.18.13-1jammy.20250719.121627
ros-humble-ros2cli-common-extensions	0.1.1-4jammy.20250721.235929
ros-humble-ros2component	0.18.13-1jammy.20250719.144710
ros-humble-ros2controlcli	2.51.0-1jammy.20250730.175754
ros-humble-ros2doctor	0.18.13-1jammy.20250719.122355
ros-humble-ros2interface	0.18.13-1jammy.20250719.123246
ros-humble-ros2launch	0.19.10-1jammy.20250719.145059
ros-humble-ros2lifecycle	0.18.13-1jammy.20250721.225615
ros-humble-ros2multicast	0.18.13-1jammy.20250719.144118
ros-humble-ros2node	0.18.13-1jammy.20250719.123254
ros-humble-ros2param	0.18.13-1jammy.20250719.134853
ros-humble-ros2pkg	0.18.13-1jammy.20250719.144028
ros-humble-ros2run	0.18.13-1jammy.20250719.145255
ros-humble-ros2service	0.18.13-1jammy.20250719.134042
ros-humble-ros2topic	0.18.13-1jammy.20250719.122352
ros-humble-rosbag2	0.15.15-1jammy.20250722.013319
ros-humble-rosbag2-compression	0.15.15-1jammy.20250721.231612
ros-humble-rosbag2-compression-zstd	0.15.15-1jammy.20250722.000421
ros-humble-rosbag2-cpp	0.15.15-1jammy.20250721.230313
ros-humble-rosbag2-interfaces	0.15.15-1jammy.20250719.083355
ros-humble-rosbag2-py	0.15.15-1jammy.20250722.003758
ros-humble-rosbag2-storage	0.15.15-1jammy.20250721.222305
ros-humble-rosbag2-storage-default-plugins	0.15.15-1jammy.20250721.225625
ros-humble-rosbag2-transport	0.15.15-1jammy.20250722.001238
ros-humble-rosgraph-msgs	1.2.2-1jammy.20250719.083500
ros-humble-rosidl-adapter	3.1.7-1jammy.20250719.011325
ros-humble-rosidl-cli	3.1.7-1jammy.20250719.000059
ros-humble-rosidl-cmake	3.1.7-1jammy.20250719.070621
ros-humble-rosidl-default-generators	1.2.0-2jammy.20250719.080245
ros-humble-rosidl-default-runtime	1.2.0-2jammy.20250719.080247
ros-humble-rosidl-generator-c	3.1.7-1jammy.20250719.071717
ros-humble-rosidl-generator-cpp	3.1.7-1jammy.20250719.072405
ros-humble-rosidl-generator-py	0.14.5-1jammy.20250719.075643
ros-humble-rosidl-parser	3.1.7-1jammy.20250719.060729
ros-humble-rosidl-runtime-c	3.1.7-1jammy.20250719.014939
ros-humble-rosidl-runtime-cpp	3.1.7-1jammy.20250719.020302
ros-humble-rosidl-runtime-py	0.9.3-1jammy.20250719.091705
ros-humble-rosidl-typesupport-c	2.0.2-1jammy.20250719.072401
ros-humble-rosidl-typesupport-cpp	2.0.2-1jammy.20250719.073406
ros-humble-rosidl-typesupport-fastrtps-c	2.2.2-2jammy.20250719.074336
ros-humble-rosidl-typesupport-fastrtps-cpp	2.2.2-2jammy.20250719.073124
ros-humble-rosidl-typesupport-interface	3.1.7-1jammy.20250719.011341
ros-humble-rosidl-typesupport-introspection-c	3.1.7-1jammy.20250719.071721
ros-humble-rosidl-typesupport-introspection-cpp	3.1.7-1jammy.20250719.072343
ros-humble-rpyutils	0.2.1-2jammy.20250719.000001
ros-humble-rqt-action	2.0.1-3jammy.20250721.231210
ros-humble-rqt-bag	1.1.5-1jammy.20250722.005831
ros-humble-rqt-bag-plugins	1.1.5-1jammy.20250722.013859
ros-humble-rqt-common-plugins	1.2.0-1jammy.20250722.014727
ros-humble-rqt-console	2.0.3-1jammy.20250721.230139
ros-humble-rqt-graph	1.3.1-1jammy.20250721.230305
ros-humble-rqt-gui	1.1.7-1jammy.20250719.143151
ros-humble-rqt-gui-cpp	1.1.7-1jammy.20250719.151650
ros-humble-rqt-gui-py	1.1.7-1jammy.20250721.222428
ros-humble-rqt-image-view	1.2.0-2jammy.20250721.234009
ros-humble-rqt-msg	1.2.0-1jammy.20250721.230702
